start,State,mean,Min,Max
2023-06-08 00:00:00,,0.19860676868722227,0.108,0.294
2023-06-08 01:00:00,,0.19141058400416666,0.109,0.291
2023-06-08 02:00:00,,0.18967748285805555,0.11,0.284
2023-06-08 03:00:00,,0.17034794321277777,0.109,0.289
2023-06-08 04:00:00,,0.16873555680138888,0.108,0.286
2023-06-08 05:00:00,,0.16540639763888887,0.109,0.284
2023-06-08 06:00:00,,0.1733405375975,0.109,0.275
2023-06-08 07:00:00,,0.3143033823013888,0.113,1.522
2023-06-08 08:00:00,,0.1976637937997222,0.089,0.285
2023-06-08 09:00:00,,0.18790989131250002,0.015,0.338
2023-06-08 10:00:00,,0.21605074281777778,0.055,0.482
2023-06-08 11:00:00,,0.21184695024277778,0.113,0.323
2023-06-08 12:00:00,,0.3512686906475,0.152,0.629
2023-06-08 13:00:00,,0.21308412470388882,0.144,0.62
2023-06-08 14:00:00,,0.21974302447916663,0.137,0.316
2023-06-08 15:00:00,,0.21128483887638885,0.128,0.307
2023-06-08 16:00:00,,0.20204265589861112,0.115,0.569
2023-06-08 17:00:00,,0.28033122847861114,0.118,0.417
2023-06-08 18:00:00,,0.18668046370194447,0.112,0.285
2023-06-08 19:00:00,,0.9018620623791667,0.107,5.16
2023-06-08 20:00:00,,0.24305030255222224,0.11,0.395
2023-06-08 21:00:00,,0.22292080265277778,0.109,0.339
2023-06-08 22:00:00,,0.1973809495894445,0.11,0.317
2023-06-08 23:00:00,,0.22285265943027777,0.109,0.396
2023-06-09 00:00:00,,0.20067777295694444,0.108,0.304
2023-06-09 01:00:00,,0.1943520091780556,0.108,1.188
2023-06-09 02:00:00,,0.1907427606905556,0.106,0.283
2023-06-09 03:00:00,,0.17098901972194444,0.108,0.287
2023-06-09 04:00:00,,0.17191195044916666,0.11,0.29
2023-06-09 05:00:00,,0.16922213760833335,0.107,1.132
2023-06-09 06:00:00,,0.17130459497694442,0.108,0.275
2023-06-09 07:00:00,,0.4797646797616666,0.112,3.223
2023-06-09 08:00:00,,0.3285662247491666,0.121,0.468
2023-06-09 09:00:00,,0.27310730445333337,0.168,0.378
2023-06-09 10:00:00,,0.31978582197416666,0.21,0.446
2023-06-09 11:00:00,,0.3015220607680555,0.211,0.426
2023-06-09 12:00:00,,0.42202332633805556,0.214,0.72
2023-06-09 13:00:00,,0.3859117465522222,0.203,3.38
2023-06-09 14:00:00,,0.34542219715361117,0.199,3.214
2023-06-09 15:00:00,,0.2925218127433334,0.189,0.408
2023-06-09 16:00:00,,0.28728139559555554,0.119,0.509
2023-06-09 17:00:00,,0.32080928237305556,0.119,0.433
2023-06-09 18:00:00,,0.8427488475755555,0.19,2.326
2023-06-09 19:00:00,,0.4744602374675,0.4,0.582
2023-06-09 20:00:00,,0.4718139031708333,0.403,0.58
2023-06-09 21:00:00,,0.4387694297044444,0.342,0.547
2023-06-09 22:00:00,,0.397283716821111,0.325,0.509
2023-06-09 23:00:00,,0.31816121551527776,0.119,1.609
2023-06-10 00:00:00,,0.1920131001380556,0.111,0.317
2023-06-10 01:00:00,,0.19459900842444444,0.109,0.288
2023-06-10 02:00:00,,0.11728170690999999,0.026,0.214
2023-06-10 03:00:00,,0.17612328930333332,0.055,0.279
2023-06-10 04:00:00,,0.1753578766527778,0.104,0.279
2023-06-10 05:00:00,,0.17336032095861112,0.076,0.329
2023-06-10 06:00:00,,0.18228393275694443,0.11,0.297
2023-06-10 07:00:00,,0.2675295595675,0.181,0.395
2023-06-10 08:00:00,,0.224963985955,0.139,0.396
2023-06-10 09:00:00,,0.22427850604333335,0.144,0.316
2023-06-10 10:00:00,,0.22924393751638886,0.104,0.321
2023-06-10 11:00:00,,0.35279568274722223,0.076,3.229
2023-06-10 12:00:00,,0.3345306410291667,0.151,0.606
2023-06-10 13:00:00,,0.25831568578972225,0.173,0.406
2023-06-10 14:00:00,,0.7072740744444445,0.078,2.511
2023-06-10 15:00:00,,0.26186163753333336,0.126,0.724
2023-06-10 16:00:00,,0.22334675808361112,0.117,0.305
2023-06-10 17:00:00,,0.28698192599194444,0.116,0.387
2023-06-10 18:00:00,,0.30884435408083327,0.111,3.259
2023-06-10 19:00:00,,0.1782274213941667,0.109,0.296
2023-06-10 20:00:00,,0.19874851418777775,0.107,0.394
2023-06-10 21:00:00,,0.20992160397972218,0.111,0.322
2023-06-10 22:00:00,,0.45508765479694446,0.253,0.584
2023-06-10 23:00:00,,0.24053438387083328,0.126,0.463
2023-06-11 00:00:00,,0.2148688984663889,0.112,0.314
2023-06-11 01:00:00,,0.19944928582666666,0.11,0.286
2023-06-11 02:00:00,,0.14514315233805555,0.04,0.239
2023-06-11 03:00:00,,0.18663186546111113,0.107,0.281
2023-06-11 04:00:00,,0.17169894270972222,0.107,0.281
2023-06-11 05:00:00,,0.17762626082916666,0.075,0.288
2023-06-11 06:00:00,,0.17864342378805553,0.112,0.352
2023-06-11 07:00:00,,0.26557752863305556,0.194,0.394
2023-06-11 08:00:00,,0.21639018977083335,0.121,0.357
2023-06-11 09:00:00,,0.21233336338305556,0.125,0.318
2023-06-11 10:00:00,,0.23917358488083332,0.031,1.447
2023-06-11 11:00:00,,0.7237235790936111,0.149,3.188
2023-06-11 12:00:00,,0.5074664526377778,0.176,2.541
2023-06-11 13:00:00,,1.2943386710455553,0.156,5.402
2023-06-11 14:00:00,,0.708939371018611,-0.028,2.569
2023-06-11 15:00:00,,0.2592590065541666,0.13,0.695
2023-06-11 16:00:00,,0.22399445602194445,0.116,0.573
2023-06-11 17:00:00,,0.3204938929363889,0.119,3.18
2023-06-11 18:00:00,,0.5281343858205555,0.11,3.16
2023-06-11 19:00:00,,1.5326061437358336,0.156,5.024
2023-06-11 20:00:00,,0.3513175838252777,0.206,1.52
2023-06-11 21:00:00,,0.2485990299777778,0.17,0.351
2023-06-11 22:00:00,,0.288905925353889,0.122,0.476
2023-06-11 23:00:00,,0.20463429035638891,0.119,0.331
2023-06-12 00:00:00,,0.21551704488805554,0.112,0.305
2023-06-12 01:00:00,,0.20679836773750004,0.109,0.284
2023-06-12 02:00:00,,0.11444858505194444,0.031,0.205
2023-06-12 03:00:00,,0.1644767648436111,0.062,0.277
2023-06-12 04:00:00,,0.17449272319861112,0.103,0.284
2023-06-12 05:00:00,,0.17764358291861107,0.114,0.294
2023-06-12 06:00:00,,0.20300255434166667,0.116,0.283
2023-06-12 07:00:00,,0.2991393306030556,0.122,0.38
2023-06-12 08:00:00,,0.5247357713591667,0.133,3.311
2023-06-12 09:00:00,,0.4595387363430555,0.39,0.579
2023-06-12 10:00:00,,0.3750456369525001,0.246,0.479
2023-06-12 11:00:00,,0.4243407503022223,0.268,0.586
2023-06-12 12:00:00,,0.38142538337055565,0.168,1.388
2023-06-12 13:00:00,,0.5077126638533332,0.193,3.356
2023-06-12 14:00:00,,0.40790194282083325,0.283,0.528
2023-06-12 15:00:00,,0.452409143476389,0.199,1.64
2023-06-12 16:00:00,,0.35093997008249994,0.275,1.24
2023-06-12 17:00:00,,0.3144484347791667,0.168,2.369
2023-06-12 18:00:00,,0.6236497274636111,0.155,4.57
2023-06-12 19:00:00,,0.4816715996952778,0.261,0.602
2023-06-12 20:00:00,,0.4940832315272221,0.404,1.441
2023-06-12 21:00:00,,0.48781853551638893,0.388,0.573
2023-06-12 22:00:00,,0.30961561758222217,0.123,0.687
2023-06-12 23:00:00,,0.21326336827888892,0.123,0.3
2023-06-13 00:00:00,,0.18271578319833334,0.11,0.286
2023-06-13 01:00:00,,0.18088268951222228,0.109,0.286
2023-06-13 02:00:00,,0.10294057181222221,0.02,0.243
2023-06-13 03:00:00,,0.17972420124805552,0.109,0.254
2023-06-13 04:00:00,,0.19687354381083333,0.107,0.281
2023-06-13 05:00:00,,0.2812020929105556,0.085,1.442
2023-06-13 06:00:00,,0.25337889116305556,0.125,0.307
2023-06-13 07:00:00,,0.4275521775711111,0.126,4.406
2023-06-13 08:00:00,,0.21875587351472223,0.134,0.368
2023-06-13 09:00:00,,0.21369155706138895,0.143,0.322
2023-06-13 10:00:00,,0.2437704487311111,0.158,0.325
2023-06-13 11:00:00,,0.2502520265630556,0.158,0.33
2023-06-13 12:00:00,,0.24937293710777778,0.124,0.338
2023-06-13 13:00:00,,0.244247622915,0.152,0.331
2023-06-13 14:00:00,,0.21657043483472224,0.144,0.325
2023-06-13 15:00:00,,0.2079944995338889,0.129,0.312
2023-06-13 16:00:00,,0.24455526956611115,0.125,0.312
2023-06-13 17:00:00,,0.2685057406736111,0.19,0.376
2023-06-13 18:00:00,,0.1887165902525,0.111,0.321
2023-06-13 19:00:00,,0.8597005918072224,0.237,2.303
2023-06-13 20:00:00,,0.22337305581666667,0.126,0.407
2023-06-13 21:00:00,,0.27065479883944443,0.109,0.421
2023-06-13 22:00:00,,0.2046684116477778,0.114,0.319
2023-06-13 23:00:00,,0.18758895019055558,0.11,0.291
2023-06-14 00:00:00,,0.20517894974694442,0.11,0.287
2023-06-14 01:00:00,,0.28661031592472225,0.109,0.597
2023-06-14 02:00:00,,0.1677819753936111,0.074,0.279
2023-06-14 03:00:00,,0.19791330143472222,0.104,0.283
2023-06-14 04:00:00,,0.17669140188305557,0.104,0.289
2023-06-14 05:00:00,,0.18041687492444447,0.113,0.292
2023-06-14 06:00:00,,0.22772502527611108,0.119,1.338
2023-06-14 07:00:00,,0.31586439439722225,0.129,0.413
2023-06-14 08:00:00,,0.23845112283222222,0.139,0.318
2023-06-14 09:00:00,,0.22226816480472222,0.143,0.323
2023-06-14 10:00:00,,0.2189294522727778,0.149,0.329
2023-06-14 11:00:00,,0.24484276999055557,0.151,0.331
2023-06-14 12:00:00,,0.2760655474222222,0.155,0.336
2023-06-14 13:00:00,,0.23086617848333335,0.154,0.33
2023-06-14 14:00:00,,0.2111824136963889,0.106,0.322
2023-06-14 15:00:00,,0.19449430822222222,0.107,0.302
2023-06-14 16:00:00,,0.19659699658805554,0.109,0.282
2023-06-14 17:00:00,,0.2871547808272222,0.113,0.38
2023-06-14 18:00:00,,0.27446985801194446,0.111,0.372
2023-06-14 19:00:00,,0.36272913391416667,0.138,3.22
2023-06-14 20:00:00,,0.18233660329722223,0.107,0.295
2023-06-14 21:00:00,,0.2138775405244444,0.109,0.407
2023-06-14 22:00:00,,0.36817647723638885,0.149,0.738
2023-06-14 23:00:00,,0.21102917967305554,0.112,0.29
2023-06-15 00:00:00,,0.21463209301972222,0.109,0.295
2023-06-15 01:00:00,,0.20136627310638885,0.11,0.293
2023-06-15 02:00:00,,0.12947218016416667,0.03,0.839
2023-06-15 03:00:00,,0.17154609757888892,0.106,0.281
2023-06-15 04:00:00,,0.16684370350250002,0.102,0.253
2023-06-15 05:00:00,,0.20477073888944444,0.114,0.289
2023-06-15 06:00:00,,0.21067700675111112,0.063,0.296
2023-06-15 07:00:00,,0.6558826015305556,0.128,2.678
2023-06-15 08:00:00,,0.2445514559155555,0.073,0.37
2023-06-15 09:00:00,,0.7792056199441667,0.152,2.571
2023-06-15 10:00:00,,0.24434482681805555,0.094,0.336
2023-06-15 11:00:00,,0.22341232100027775,0.139,0.331
2023-06-15 12:00:00,,0.2171414457408333,0.047,0.391
2023-06-15 13:00:00,,0.2162275798525,0.056,0.306
2023-06-15 14:00:00,,0.23446979188694442,0.137,0.334
2023-06-15 15:00:00,,0.21635168214305553,0.115,0.289
2023-06-15 16:00:00,,0.2021590197169444,0.114,0.289
2023-06-15 17:00:00,,0.2773418691725,0.189,0.483
2023-06-15 18:00:00,,0.26993353197527775,0.194,0.425
2023-06-15 19:00:00,,0.35939357435972213,0.116,3.137
2023-06-15 20:00:00,,0.37273781944305556,0.219,0.727
2023-06-15 21:00:00,,0.22587140367750003,0.113,0.376
2023-06-15 22:00:00,,0.22683088023777775,0.114,0.3
2023-06-15 23:00:00,,0.21651756569000002,0.129,0.307
2023-06-16 00:00:00,,0.18232706984805555,0.11,0.578
2023-06-16 01:00:00,,0.17703232395388888,0.109,0.287
2023-06-16 02:00:00,,0.1328553871597222,-0.027,0.263
2023-06-16 03:00:00,,0.1982401237322222,0.107,0.281
2023-06-16 04:00:00,,0.1982945604488889,0.107,0.286
2023-06-16 05:00:00,,0.19221777262555553,0.084,0.31
2023-06-16 06:00:00,,0.21234736590027778,0.119,0.31
2023-06-16 07:00:00,,0.3326298977408333,0.189,1.475
2023-06-16 08:00:00,,0.2431275455777778,0.114,0.378
2023-06-16 09:00:00,,0.24005628993999997,0.14,0.318
2023-06-16 10:00:00,,0.21955244769472224,0.147,0.329
