start,end,mean,min,max
"2023-03-17 00:00:00","2023-03-17 01:00:10",0.200623748906389,0.121,1.15
"2023-03-17 01:00:00","2023-03-17 02:00:10",0.214138510006111,0.119,0.286
"2023-03-17 02:00:00","2023-03-17 03:00:10",0.193270013175833,0.117,0.29
"2023-03-17 03:00:00","2023-03-17 04:00:10",0.192019512516111,0.117,0.285
"2023-03-17 04:00:00","2023-03-17 05:00:10",0.173035894968611,0.118,0.286
"2023-03-17 05:00:00","2023-03-17 06:00:10",0.169129888987778,0.11,1.118
"2023-03-17 06:00:00","2023-03-17 07:00:10",0.159746511832222,0.108,0.316
"2023-03-17 07:00:00","2023-03-17 08:00:10",0.344535445949722,0.191,2.31
"2023-03-17 08:00:00","2023-03-17 09:00:10",0.41763341856,0.116,4.318
"2023-03-17 09:00:00","2023-03-17 10:00:10",0.296757215473889,0.202,0.438
"2023-03-17 10:00:00","2023-03-17 11:00:10",0.309926972629167,0.202,0.432
"2023-03-17 11:00:00","2023-03-17 12:00:10",0.347424539629444,0.282,0.472
"2023-03-17 12:00:00","2023-03-17 13:00:10",0.321657550006389,0.205,0.483
"2023-03-17 13:00:00","2023-03-17 14:00:10",0.298784453276944,0.215,0.488
"2023-03-17 14:00:00","2023-03-17 15:00:10",0.495641455067814,0.21,3.673
"2023-03-17 15:00:00","2023-03-17 16:00:10",0.320969557079444,0.207,0.492
"2023-03-17 16:00:00","2023-03-17 17:00:10",0.350475122273889,0.2,0.489
"2023-03-17 17:00:00","2023-03-17 18:00:10",0.359299964551111,0.253,0.502
"2023-03-17 18:00:00","2023-03-17 19:00:10",0.982531045905278,0.248,2.519
"2023-03-17 19:00:00","2023-03-17 20:00:10",0.57702047749,0.421,0.741
"2023-03-17 20:00:00","2023-03-17 21:00:10",0.444063117369722,0.33,0.6
"2023-03-17 21:00:00","2023-03-17 22:00:10",0.434838538681389,0.328,0.575
"2023-03-17 22:00:00","2023-03-17 23:00:10",0.454080093200833,0.326,0.578
"2023-03-17 23:00:00","2023-03-18 00:00:10",0.418943926448889,0.326,0.573
"2023-03-18 00:00:00","2023-03-18 01:00:10",0.311648103768333,0.114,1.546
